Model                                   ,Number of Trees                         ,Test MSE                                
RF                                      ,0.0 +/- 0.0                             ,3208.93 +/- 0.0                         
RF + MABSplit                           ,4.0 +/- 0.0                             ,986.897 +/- 7.412                       
RP                                      ,0.0 +/- 0.0                             ,3208.93 +/- 0.0                         
RP + MABSplit                           ,4.0 +/- 0.0                             ,937.296 +/- 5.08                        
ExtraTrees                              ,0.0 +/- 0.0                             ,3208.93 +/- 0.0                         
ExtraTrees + MABSplit                   ,3.0 +/- 0.0                             ,913.895 +/- 3.313                       
