Model                                   ,Time (s)                                ,Number of Insertions                    ,MSE                                     
RF                                      ,17.992 +/- 0.038                        ,1.78E+08 +/- 2.30E+04                   ,69733.002 +/- 57.401                    
RF + MABSplit                           ,9.552 +/- 0.098                         ,4.60E+06 +/- 6.83E+04                   ,69407.684 +/- 27.306                    
ExtraTrees                              ,19.836 +/- 0.028                        ,1.80E+08 +/- 0.00E+00                   ,69734.948 +/- 54.876                    
ExtraTrees + MABSplit                   ,12.494 +/- 0.045                        ,6.99E+06 +/- 3.30E+04                   ,69734.948 +/- 54.876                    
RP                                      ,15.349 +/- 0.108                        ,1.50E+08 +/- 5.55E+04                   ,66364.998 +/- 894.568                   
RP + MABSplit                           ,13.476 +/- 0.414                        ,7.30E+06 +/- 3.32E+05                   ,66364.998 +/- 894.568                   
