Model                                   ,Number of Trees                         ,Accuracy                                
RF                                      ,0.2 +/- 0.179                           ,0.143 +/- 0.026                         
RF + MABSplit                           ,15.8 +/- 0.179                          ,0.83 +/- 0.002                          
ExtraTrees                              ,0.2 +/- 0.179                           ,0.144 +/- 0.027                         
ExtraTrees + MABSplit                   ,12.0 +/- 0.0                            ,0.814 +/- 0.001                         
RP                                      ,1.0 +/- 0.0                             ,0.253 +/- 0.003                         
RP + MABSplit                           ,16.8 +/- 0.179                          ,0.832 +/- 0.002                         
