Model                                   ,Time (s)                                ,Number of Insertions                    ,Accuracy                                
RF                                      ,118.52 +/- 0.128                        ,1.86E+07 +/- 0.00E+00                   ,0.559 +/- 0.028                         
RF + MABSplit                           ,42.505 +/- 2.749                        ,6.02E+06 +/- 3.84E+05                   ,0.511 +/- 0.005                         
ExtraTrees                              ,118.138 +/- 0.211                       ,1.86E+07 +/- 0.00E+00                   ,0.539 +/- 0.022                         
ExtraTrees + MABSplit                   ,53.562 +/- 5.284                        ,7.67E+06 +/- 7.71E+05                   ,0.498 +/- 0.005                         
RP                                      ,103.444 +/- 0.485                       ,1.62E+07 +/- 8.31E+04                   ,0.51 +/- 0.008                          
RP + MABSplit                           ,40.8 +/- 4.342                          ,5.72E+06 +/- 6.26E+05                   ,0.505 +/- 0.005                         
