Model                                   ,Time (s)                                ,Number of Insertions                    ,Accuracy                                
RF                                      ,20.791 +/- 0.065                        ,3.77E+06 +/- 9.66E+03                   ,0.985 +/- 0.0                           
RF + MABSplit                           ,15.308 +/- 0.208                        ,2.54E+06 +/- 3.62E+04                   ,0.985 +/- 0.0                           
ExtraTrees                              ,18.974 +/- 0.029                        ,3.78E+06 +/- 0.00E+00                   ,0.985 +/- 0.0                           
ExtraTrees + MABSplit                   ,12.049 +/- 0.381                        ,2.20E+06 +/- 6.72E+04                   ,0.985 +/- 0.0                           
RP                                      ,17.838 +/- 0.061                        ,3.22E+06 +/- 1.18E+04                   ,0.985 +/- 0.0                           
RP + MABSplit                           ,13.788 +/- 0.264                        ,2.29E+06 +/- 4.35E+04                   ,0.985 +/- 0.0                           
